name,screen_name,location,followers_count,friends_count,tweet
Dudu,EduMatos,Rio de Janeiro - Brasil,542,583,"RT @Glauber_Braga: O governo Bolsonaro acaba de assinar acordo que permite aos EUA lançar satélites e foguetes da base de Alcântara, Maranh…"
Bibis Pereira,fabiana0biana,Brasil,97,191,RT @julianopsol50: A viagem da comitiva brasileira aos EUA está sendo um festival de absurdos. Depois de anunciar a entrega de Alcântara e…
dark times,hcrftm,,8743,120,"Quando o Bolsonaro voltar para esse ""LIXO AQUI"" (BOLSONARO, 2019) dos Estados Unidos e tiver um plano de governo, n… https://t.co/d7FH22y4Ik"
Andrew Keynes Smith,Andrewks29,"São Paulo, Brasil",542,2125,RT @DCM_online: Ex-embaixador do Brasil nos EUA diz que governo Bolsonaro afeta a soberania do país https://t.co/4WaFzPwKAQ
Eustáchio Azevedo,1eustachio,BrasilManaus,146,1442,RT @joicehasselmann: Governo do Amazonas decidiu NÃO privatizar seu elefante branco. O estádio arena da Amazônia custa 1 MILHÃO p/mês. Quem…
vulgo G.L,alangl157,"San Francisco, Colombia",128,119,"RT @FreeFireMilGrau: ""Governo irá proibir o jogo Free Fire por induzir violências entre adolescentes""

Jogadores de Free Fire: https://t.co…"
A gente fala mesmo!!,agentefala30,Brasil,3742,210,"As separações de poderes e família estão sendo quebradas nesse governo. Melhor observamos muito bem isso.

Filho, e… https://t.co/L7r4s8JQCD"
Felipe Resistência Falcão,FelipeFalcao29,,104,168,"RT @MidiaNINJA: Em entrevista ao jornal The New York Times, @GuajajaraSonia fala sobre os retrocessos que o governo de Jair Bolsonaro causo…"
carou,sacarolse,,290,321,"RT @eduardomoreira: O presidente viaja e o filho, que não é nada no governo, toca sua agenda em Brasilia. E quase ninguém acha isso uma mal…"
Alyce �,illegarmy,Hope Word.,77,96,RT @acababolso: 1384 dias para o fim do governo Bolsonaro
deslocado,lrnemer,,937,309,"RT @eduardomoreira: O presidente viaja e o filho, que não é nada no governo, toca sua agenda em Brasilia. E quase ninguém acha isso uma mal…"
Felipe Santos ����,FelipeS15325377,"Rio de Janeiro, Brasil",5208,5355,"RT @Valdecirdelecl1: Como eu queria dar razão aos esquerdistas

No quesito ""o governo irá nos caçar e punir""

KD a tão sonhada ""ditadura"""
Natan,natan753951,,603,1112,RT @manoelmsgontijo: Moro busca acordo p/ troca de informações c/ a CIA e FBI; Pontes busca parceria c/ SpaceX e NASA; o PR Bolsonaro assin…
Dep. José Esmeraldo,_JoseEsmeraldo,Espírito Santo - Brasil,1452,451,Hoje durante a reunião da Comissão de Agricultura da Assembleia Legislativa falei sobre a importância do trabalho n… https://t.co/xU1pxEi2t5
Femizilla2 NewComunism #LulaInocente,thefemizilla,Santa Catarina Brazil,1121,896,"RT @ptbrasil: Com @LulaOficial, o governo não precisava vender o Brasil para ser respeitado. O país se tornou independente, soberano, pagou…"
Thais Helena Camargo,ThaisHelenaF,,29,172,"RT @erikakokay: Desafio os bolsonaristas a defenderem o governo Bolsonaro per si, sem citar Lula, PT, Cuba, Venezuela, comunismo e afins. F…"
Bru,send_noldes,Porto Alegre/RS - Brasil,761,960,"RT @eduardomoreira: O presidente viaja e o filho, que não é nada no governo, toca sua agenda em Brasilia. E quase ninguém acha isso uma mal…"
Lujan Barros Mendes,Lujancolorado,,264,2205,"RT @andrefran: Steve Bannon, homenageado por Bolsonaro nos EUA, foi alijado do governo Trump. Único que seguia defendendo sua permanência e…"
Anderson de F. uchak,AndersonUchak,,638,1299,RT @manoelmsgontijo: Moro busca acordo p/ troca de informações c/ a CIA e FBI; Pontes busca parceria c/ SpaceX e NASA; o PR Bolsonaro assin…
Frederico Araújo,nq6,"Salvador, Ba, Brasil",105,195,"@renatol1ma Segura o choro, pois Bolsonaro continua sendo nosso presidente apesar do seu chilique. Em 2022 reeleiçã… https://t.co/39W6MP7fg8"
Supershok,Natansantos__,"Duque de Caxias, Brasil",68,249,RT @PauloVieiraReal: Bolsonaro acha chique assinar QUALQUER contrato com o governo americano. É o típico Brasileiro médio que queria ter na…
chisele �,chiseleeee,,1309,1942,"RT @dougraz: foda ver o governo do nosso país diminuindo a gente
 foda"
Pizza girl (26/06/18 best day ever),rebecagm_,Brazil,369,658,"RT @eduardomoreira: O presidente viaja e o filho, que não é nada no governo, toca sua agenda em Brasilia. E quase ninguém acha isso uma mal…"
florentino�️‍��‍❤️‍�‍�,felipef_lisboa,"Rio de Janeiro, Brazil",149,647,RT @PauloVieiraReal: Bolsonaro acha chique assinar QUALQUER contrato com o governo americano. É o típico Brasileiro médio que queria ter na…
FGV IBRE,FGVIBRE,"Rio de Janeiro, Brasil",6001,206,"Após o leilão de aeroportos, governo espera colher bons resultados em novas concessões logísticas e, dessa forma, i… https://t.co/Hv4UtPZlXF"
Bea,beatriscarolin3,"Joinville, Brasil",122,99,RT @acababolso: 1384 dias para o fim do governo Bolsonaro
vitorcarvalho,vitorca76114864,,91,50,RT @erikakokay: Classificar Bolsonaro de “nacionalista” é um escárnio. “Brasil acima de tudo” e “Pátria Amada Brasil” são slogans que não c…
Tatiane Teixeira,tatianetxsn,Salvador-BA,30,181,RT @acababolso: 1384 dias para o fim do governo Bolsonaro
mila �,luansbeats,"Salvador, Brasil",3915,2621,"RT @eduardomoreira: O presidente viaja e o filho, que não é nada no governo, toca sua agenda em Brasilia. E quase ninguém acha isso uma mal…"
Ah mancio ENDGAME,uksAmancio,,64,81,"RT @eduardomoreira: O presidente viaja e o filho, que não é nada no governo, toca sua agenda em Brasilia. E quase ninguém acha isso uma mal…"
Wesllao,Wesllao_O,Maringá/Brasil,503,397,"RT @MarinaSilva: O desmatamento da Amazônia cresceu 54% no 1º mês do governo Bolsonaro, em comparação com janeiro de 2018. Os ataques do at…"
Micky do Capiroto,mickydocapiroto,Capirotoland ,124,354,"RT @jairbolsonaro: Jornalistas maldosos falaram recentemente em mal estar no mercado gerado pelo governo. Pois bem, a Bolsa de Valores atin…"
GilGody,GilGODY,Campinas SP,572,546,"RT @AndorCrain: Com isenção de visto, governo vai deixar de arrecadar R$ 60 milhões https://t.co/TMAPslKsZE"
Fernando Carreiro,ferncarreiro,"Vitória (ES), Brasil",6651,334,"Um governo que pretende comemorar os 55 anos do Golpe Militar, em 31 de março, é um governo para ser comemorado?"
