name,screen_name,location,followers_count,friends_count,tweet
Guine ™ #VamosSãoPaulo,Guine_SPFC,Brasil,5992,4945,"Vai ser difícil... Esse governo foi eleito pela agenda ideológica, quando a maioria entender a reforma acho que o a… https://t.co/tehZSECthD"
Shirley Vaz,ShirleyVazbh,"Belo Horizonte, Brasil",1483,2057,"RT @maryritalopes: A grobo n satisfeita de boicotar o governo, ontem no fantastico acusou o presidente de estar ligado ao assassinato de La…"
Maísa Jecusan,mluizajcsantos,São Luis-Maranhão,800,2837,"RT @senadorhumberto: Distribuir dinheiro público em emendas, oferecer mais de mil cargos públicos na estrutura do governo. Tudo isso a plen…"
lamentações,Marcio_bil,"Belo Horizonte, Brasil",522,697,"RT @delucca: Quando o SILAS MALAFAIA e o RODRIGO MAIA precisam sair do esgoto onde vivem com lixo tóxico intolerante, porque ficaram indign…"
FLAMENGUISTA SINCERO �⚫,FlaSinceroOFC,Ninho do urubu,22363,748,Concessão do Maracanã cancelada pelo governo do estado. Ela tem até o dia 19 de abril para deixar o estádio
Janaina Santana,Jsouzarj,,18,72,RT @DonaReginaa: Entrei p/ o Index Twittorum Prohibitorum do @Estadao.  Acho q consideram difamação o ato d defender o governo q elegi das…
Pedro Moraes,pppmoraes76,"Rio de Janeiro, Brasil",1883,1762,RT @globoesportecom: Governo do Rio de Janeiro anuncia rompimento com consórcio que gere o Maracanã https://t.co/WS4oXjlmKd https://t.co/SQ…
Remerson Fiinho,RemersonFiinho,Brasil,71,776,"RT @julianopsol50: Presidente do Bradesco, em entrevista à @folha, afirmou que ""se a reforma não sair no primeiro semestre, o mercado pode…"
Alexandre Reis,lawyerofbrazil,"São Paulo, Brasil",55,140,"@Rogeriolemos12 @VEJA 3 meses de governo, 2.3 BILHÕES nos leilões dos aeroportos, facilitação da posse de armas, Mo… https://t.co/l4Q4H1my1b"
Maurilio De Carvalho,maurilio_car,,66,25,"RT @HenriqueFontana: Recado do @xicosa 

""É preciso, pelo código de ética do jornalismo, dizer q a reforma da previdência do Governo Bolson…"
